start_dt,arv_dt,start_emd,arv_emd,sex_nm,agegrd_nm,start_arv_place_type,mvmn_time_sum,mvmn_dstc,popl_cnt
2019-09-30 09:40,2019-10-01 00:00,3902013,1122064,M,30,EH,863,449190,2.40
2019-09-30 09:40,2019-10-01 00:20,1102054,2301064,M,30,WH,866,43303,2.36
2019-09-30 09:40,2019-10-01 01:00,1115054,3107052,F,20,HH,920,54363,2.21
2019-09-30 09:40,2019-10-01 01:00,1116069,3902052,F,35,EE,918,479161,3.04
2019-09-30 09:40,2019-10-01 01:00,1119054,3503071,M,45,EH,914,174100,3.14
2019-09-30 09:40,2019-10-01 01:00,1123052,3502064,F,25,EE,926,172662,2.07
2019-09-30 09:40,2019-10-01 01:20,1123075,2402054,M,30,EE,958,258744,2.32
2019-09-30 09:40,2019-10-01 01:40,1116069,3902052,M,15,EE,957,479161,4.52
2019-09-30 09:40,2019-10-01 01:40,3231037,1108063,F,30,EH,967,59197,2.39
2019-09-30 09:40,2019-10-01 01:40,3631041,1102067,M,60,EH,955,255014,3.52
2019-09-30 09:40,2019-10-01 06:20,3401159,1120068,M,50,EE,1225,76360,3.29
2019-09-30 09:40,2019-10-01 07:40,2504064,1116071,M,40,EE,1318,142572,3.01
2019-09-30 09:40,2019-10-01 08:00,3408012,1108065,M,60,EH,1355,77093,3.54
2019-09-30 09:40,2019-10-01 08:20,1122060,3303074,F,60,EW,1356,113939,3.77
2019-09-30 09:40,2019-10-01 08:40,1122060,3206054,F,75,EE,1389,159393,8.94
2019-09-30 09:40,2019-10-01 08:40,1123076,3401252,M,60,HW,1378,71231,3.53
2019-09-30 09:40,2019-10-01 09:00,1103057,2402056,M,25,EE,1405,262878,2.28
2019-09-30 09:40,2019-10-01 09:00,2504057,1119054,M,45,WE,1408,131495,3.15
2019-09-30 09:40,2019-10-01 09:00,3637035,1124079,F,45,EE,1391,276723,3.32
2019-09-30 10:00,2019-10-01 00:20,1116069,3901014,M,30,EE,861,454999,2.37
2019-09-30 10:00,2019-10-01 00:20,3431039,1108071,F,75,EE,853,159660,8.93
